,0,1,2
0,"(5,)",0.536875,0.55
1,"(5, 5, 5, 5, 5)",0.506875,0.4725
2,"(20,)",0.51125,0.5275
3,"(20, 20, 20, 20, 20)",0.493125,0.5275
4,"(20, 20, 20, 20, 20, 20, 20, 20, 20, 20)",0.491875,0.5275
5,"(50,)",0.525625,0.4825
6,"(50, 50, 50, 50, 50, 50)",0.5775,0.5625
7,"(50, 50, 50, 50, 50, 50, 50, 50, 50, 50)",0.53875,0.5425
8,"(100,)",0.56125,0.54
9,"(100, 100, 100, 100, 100, 100)",0.58625,0.51
10,"(100, 100, 100, 100, 100, 100, 100, 100, 100, 100)",0.49375,0.5275
11,"(250,)",0.506875,0.4725
12,"(250, 250, 250, 250, 250, 250)",0.49375,0.525
13,"(250, 250, 250, 250, 250, 250, 250, 250, 250, 250)",0.501875,0.525
14,"(500,)",0.493125,0.53
15,"(500, 500, 500, 500, 500, 500)",0.609375,0.6025
16,"(500, 500, 500, 500, 500, 500, 500, 500, 500, 500)",0.506875,0.4725
